0,0,0.000297,0.00882091
0.10101,3e-05,0.001188,0.0173232
0.20202,0.00024,0.00379664,0.0338369
0.30303,0.000797,0.00802379,0.0493418
0.40404,0.001861,0.013765,0.0637831
0.505051,0.003578,0.0209106,0.0772013
0.606061,0.006086,0.0293649,0.089606
0.707071,0.009512,0.0390209,0.101004
0.808081,0.013973,0.0497856,0.111377
0.909091,0.019578,0.0615497,0.120682
1.0101,0.026423,0.0742125,0.129042
1.11111,0.034598,0.0876916,0.136416
1.21212,0.044184,0.101879,0.14269
1.31313,0.055251,0.116669,0.148017
1.41414,0.067861,0.131987,0.152418
1.51515,0.082071,0.147732,0.1558
1.61616,0.097925,0.163809,0.158249
1.71717,0.115463,0.180137,0.159799
1.81818,0.134715,0.196624,0.160495
1.91919,0.155705,0.213198,0.160357
2.0202,0.17845,0.229772,0.159411
2.12121,0.202958,0.246273,0.157779
2.22222,0.229233,0.262639,0.155493
2.32323,0.257271,0.278803,0.152541
2.42424,0.287063,0.294695,0.148997
2.52525,0.318591,0.310261,0.145038
2.62626,0.351834,0.325466,0.140653
2.72727,0.386766,0.340251,0.1358
2.82828,0.423353,0.35457,0.130636
2.92929,0.461557,0.368394,0.125264
3.0303,0.501336,0.381696,0.119633
3.13131,0.542644,0.394437,0.113751
3.23232,0.585427,0.406588,0.107758
3.33333,0.62963,0.418139,0.101661
3.43434,0.675193,0.429063,0.0954905
3.53535,0.722052,0.439353,0.0893014
3.63636,0.770141,0.448997,0.08303
3.73737,0.819389,0.457973,0.0767055
3.83838,0.869722,0.466274,0.0704331
3.93939,0.921063,0.473902,0.0641983
4.0404,0.973335,0.480849,0.0579593
4.14141,1.02645,0.487109,0.0517245
4.24242,1.08034,0.492674,0.0455163
4.34343,1.13491,0.497545,0.039378
4.44444,1.19006,0.501727,0.033278
4.54545,1.24572,0.505213,0.0271922
4.64647,1.3018,0.508005,0.0211156
4.74747,1.3582,0.510096,0.0150537
4.84849,1.41482,0.511489,0.00902086
4.94949,1.47159,0.512185,0.00300343
5.05051,1.52841,0.512185,-0.00300343
5.15151,1.58518,0.511489,-0.00902086
5.25253,1.6418,0.510096,-0.0150537
5.35353,1.6982,0.508005,-0.0211156
5.45455,1.75428,0.505213,-0.0271922
5.55556,1.80994,0.501727,-0.033278
5.65657,1.86509,0.497545,-0.039378
5.75758,1.91966,0.492674,-0.0455163
5.85859,1.97355,0.487109,-0.0517245
5.9596,2.02666,0.480849,-0.0579593
6.06061,2.07894,0.473902,-0.0641983
6.16162,2.13028,0.466274,-0.0704331
6.26263,2.18061,0.457973,-0.0767055
6.36364,2.22986,0.448997,-0.08303
6.46465,2.27795,0.439353,-0.0893014
6.56566,2.32481,0.429063,-0.0954905
6.66667,2.37037,0.418139,-0.101661
6.76768,2.41457,0.406588,-0.107758
6.86869,2.45736,0.394437,-0.113751
6.9697,2.49866,0.381696,-0.119633
7.07071,2.53844,0.368394,-0.125264
7.17172,2.57665,0.35457,-0.130636
7.27273,2.61323,0.340251,-0.1358
7.37374,2.64817,0.325466,-0.140653
7.47475,2.68141,0.310261,-0.145038
7.57576,2.71294,0.294695,-0.148997
7.67677,2.74273,0.278803,-0.152541
7.77778,2.77077,0.262639,-0.155493
7.87879,2.79704,0.246273,-0.157779
7.9798,2.82155,0.229772,-0.159411
8.08081,2.84429,0.213198,-0.160357
8.18182,2.86529,0.196624,-0.160495
8.28283,2.88454,0.180137,-0.159799
8.38384,2.90207,0.163809,-0.158249
8.48485,2.91793,0.147732,-0.1558
8.58586,2.93214,0.131987,-0.152418
8.68687,2.94475,0.116669,-0.148017
8.78788,2.95582,0.101879,-0.14269
8.88889,2.9654,0.0876916,-0.136416
8.9899,2.97358,0.0742125,-0.129042
9.09091,2.98042,0.0615497,-0.120682
9.19192,2.98603,0.0497856,-0.111377
9.29293,2.99049,0.0390209,-0.101004
9.39394,2.99391,0.0293649,-0.089606
9.49495,2.99642,0.0209106,-0.0772013
9.59596,2.99814,0.013765,-0.0637831
9.69697,2.9992,0.00802379,-0.0493418
9.79798,2.99976,0.00379664,-0.0338369
9.89899,2.99997,0.001188,-0.0173232
10,3,0.000297,-0.0147015
10,3,-0.000297,-0.0147015
10.101,2.99997,-0.001188,-0.0173232
10.202,2.99976,-0.00379664,-0.0338369
10.303,2.9992,-0.00802379,-0.0493418
10.404,2.99814,-0.013765,-0.0637831
10.5051,2.99642,-0.0209106,-0.0772013
10.6061,2.99391,-0.0293649,-0.089606
10.7071,2.99049,-0.0390209,-0.101004
10.8081,2.98603,-0.0497856,-0.111377
10.9091,2.98042,-0.0615497,-0.120682
11.0101,2.97358,-0.0742125,-0.129042
11.1111,2.9654,-0.0876916,-0.136416
11.2121,2.95582,-0.101879,-0.14269
11.3131,2.94475,-0.116669,-0.148017
11.4141,2.93214,-0.131987,-0.152418
11.5152,2.91793,-0.147732,-0.1558
11.6162,2.90207,-0.163809,-0.158249
11.7172,2.88454,-0.180137,-0.159799
11.8182,2.86529,-0.196624,-0.160495
11.9192,2.84429,-0.213198,-0.160357
12.0202,2.82155,-0.229772,-0.159411
12.1212,2.79704,-0.246273,-0.157779
12.2222,2.77077,-0.262639,-0.155493
12.3232,2.74273,-0.278803,-0.152541
12.4242,2.71294,-0.294695,-0.148997
12.5253,2.68141,-0.310261,-0.145038
12.6263,2.64817,-0.325466,-0.140653
12.7273,2.61323,-0.340251,-0.1358
12.8283,2.57665,-0.35457,-0.130636
12.9293,2.53844,-0.368394,-0.125264
13.0303,2.49866,-0.381696,-0.119633
13.1313,2.45736,-0.394437,-0.113751
13.2323,2.41457,-0.406588,-0.107758
13.3333,2.37037,-0.418139,-0.101661
13.4343,2.32481,-0.429063,-0.0954905
13.5354,2.27795,-0.439353,-0.0893014
13.6364,2.22986,-0.448997,-0.08303
13.7374,2.18061,-0.457973,-0.0767055
13.8384,2.13028,-0.466274,-0.0704331
13.9394,2.07894,-0.473902,-0.0641983
14.0404,2.02666,-0.480849,-0.0579593
14.1414,1.97355,-0.487109,-0.0517245
14.2424,1.91966,-0.492674,-0.0455163
14.3434,1.86509,-0.497545,-0.039378
14.4444,1.80994,-0.501727,-0.033278
14.5455,1.75428,-0.505213,-0.0271922
14.6465,1.6982,-0.508005,-0.0211156
14.7475,1.6418,-0.510096,-0.0150537
14.8485,1.58518,-0.511489,-0.00902086
14.9495,1.52841,-0.512185,-0.00300343
15.0505,1.47159,-0.512185,0.00300343
15.1515,1.41482,-0.511489,0.00902086
15.2525,1.3582,-0.510096,0.0150537
15.3535,1.3018,-0.508005,0.0211156
15.4545,1.24572,-0.505213,0.0271922
15.5556,1.19006,-0.501727,0.033278
15.6566,1.13491,-0.497545,0.039378
15.7576,1.08034,-0.492674,0.0455163
15.8586,1.02645,-0.487109,0.0517245
15.9596,0.973335,-0.480849,0.0579593
16.0606,0.921063,-0.473902,0.0641983
16.1616,0.869722,-0.466274,0.0704331
16.2626,0.819389,-0.457973,0.0767055
16.3636,0.770141,-0.448997,0.08303
16.4646,0.722052,-0.439353,0.0893014
16.5657,0.675193,-0.429063,0.0954905
16.6667,0.62963,-0.418139,0.101661
16.7677,0.585427,-0.406588,0.107758
16.8687,0.542644,-0.394437,0.113751
16.9697,0.501336,-0.381696,0.119633
17.0707,0.461557,-0.368394,0.125264
17.1717,0.423353,-0.35457,0.130636
17.2727,0.386766,-0.340251,0.1358
17.3737,0.351834,-0.325466,0.140653
17.4747,0.318591,-0.310261,0.145038
17.5758,0.287063,-0.294695,0.148997
17.6768,0.257271,-0.278803,0.152541
17.7778,0.229233,-0.262639,0.155493
17.8788,0.202958,-0.246273,0.157779
17.9798,0.17845,-0.229772,0.159411
18.0808,0.155705,-0.213198,0.160357
18.1818,0.134715,-0.196624,0.160495
18.2828,0.115463,-0.180137,0.159799
18.3838,0.097925,-0.163809,0.158249
18.4848,0.082071,-0.147732,0.1558
18.5859,0.067861,-0.131987,0.152418
18.6869,0.055251,-0.116669,0.148017
18.7879,0.044184,-0.101879,0.14269
18.8889,0.034598,-0.0876916,0.136416
18.9899,0.026423,-0.0742125,0.129042
19.0909,0.019578,-0.0615497,0.120682
19.1919,0.013973,-0.0497856,0.111377
19.2929,0.009512,-0.0390209,0.101004
19.3939,0.006086,-0.0293649,0.089606
19.4949,0.003578,-0.0209106,0.0772013
19.596,0.001861,-0.013765,0.0637831
19.697,0.000797,-0.00802379,0.0493418
19.798,0.00024,-0.00379664,0.0338369
19.899,3e-05,-0.001188,0.0173232
20,0,-0.000297,0.00882091
