x,y
0.000000,0.000000
0.100000,0.000000
0.200000,0.000000
0.300000,0.000000
0.400000,0.000000
0.500000,0.000000
0.600000,0.000000
0.700000,0.000000
0.800000,0.000000
0.900000,0.000000
1.000000,0.000000
1.100000,0.000000
1.200000,0.000000
1.300000,0.000000
1.400000,0.000000
1.500000,0.000000
1.600000,0.000000
1.700000,0.000000
1.800000,0.000000
1.900000,0.000000
2.000000,0.000000
2.100000,0.000000
2.200000,0.000000
2.300000,0.000000
2.400000,0.000000
2.500000,0.000000
2.600000,0.000000
2.700000,0.000000
2.800000,0.000000
2.900000,0.000000
3.000000,0.000000
3.100000,0.000000
3.200000,0.000000
3.300000,0.000000
3.400000,0.000000
3.500000,0.000000
3.600000,0.000000
3.700000,0.000000
3.800000,0.000000
3.900000,0.000000
4.000000,0.000000
4.100000,0.000000
4.200000,0.000000
4.300000,0.000000
4.400000,0.000000
4.500000,0.000000
4.600000,0.000000
4.700000,0.000000
4.800000,0.000000
4.900000,0.000000
5.000000,0.000000
5.100000,0.000000
5.200000,0.000030
5.300000,0.000240
5.400000,0.000797
5.500000,0.001861
5.600000,0.003578
5.700000,0.006086
5.800000,0.009512
5.900000,0.013973
6.000000,0.019578
6.100000,0.026423
6.200000,0.034598
6.300000,0.044184
6.400000,0.055251
6.500000,0.067861
6.600000,0.082071
6.700000,0.097925
6.800000,0.115463
6.900000,0.134715
7.000000,0.155705
7.100000,0.178450
7.200000,0.202958
7.300000,0.229233
7.400000,0.257271
7.500000,0.287063
7.600000,0.318591
7.700000,0.351834
7.800000,0.386766
7.900000,0.423353
8.000000,0.461557
8.100000,0.501336
8.200000,0.542644
8.300000,0.585427
8.400000,0.629630
8.500000,0.675193
8.600000,0.722052
8.700000,0.770141
8.800000,0.819389
8.900000,0.869722
9.000000,0.921063
9.100000,0.973335
9.200000,1.026455
9.300000,1.080341
9.400000,1.134905
9.500000,1.190062
9.600000,1.245723
9.700000,1.301798
9.800000,1.358196
9.900000,1.414825
10.000000,1.471593
10.100000,1.528407
10.200000,1.585175
10.300000,1.641804
10.400000,1.698202
10.500000,1.754277
10.600000,1.809938
10.700000,1.865095
10.800000,1.919659
10.900000,1.973545
11.000000,2.026665
11.100000,2.078937
11.200000,2.130278
11.300000,2.180611
11.400000,2.229859
11.500000,2.277948
11.600000,2.324807
11.700000,2.370370
11.800000,2.414573
11.900000,2.457356
12.000000,2.498664
12.100000,2.538443
12.200000,2.576647
12.300000,2.613234
12.400000,2.648166
12.500000,2.681409
12.600000,2.712937
12.700000,2.742729
12.800000,2.770767
12.900000,2.797042
13.000000,2.821550
13.100000,2.844295
13.200000,2.865285
13.300000,2.884537
13.400000,2.902075
13.500000,2.917929
13.600000,2.932139
13.700000,2.944749
13.800000,2.955816
13.900000,2.965402
14.000000,2.973577
14.100000,2.980422
14.200000,2.986027
14.300000,2.990488
14.400000,2.993914
14.500000,2.996422
14.600000,2.998139
14.700000,2.999203
14.800000,2.999760
14.900000,2.999970
15.000000,3.000000
15.100000,3.000000
15.200000,3.000000
15.300000,3.000000
15.400000,3.000000
15.500000,3.000000
15.600000,3.000000
15.700000,3.000000
15.800000,3.000000
15.900000,3.000000
16.000000,3.000000
16.100000,3.000000
16.200000,3.000000
16.300000,3.000000
16.400000,3.000000
16.500000,3.000000
16.600000,3.000000
16.700000,3.000000
16.800000,3.000000
16.900000,3.000000
17.000000,3.000000
17.100000,3.000000
17.200000,3.000000
17.300000,3.000000
17.400000,3.000000
17.500000,3.000000
17.600000,3.000000
17.700000,3.000000
17.800000,3.000000
17.900000,3.000000
18.000000,3.000000
18.100000,3.000000
18.200000,3.000000
18.300000,3.000000
18.400000,3.000000
18.500000,3.000000
18.600000,3.000000
18.700000,3.000000
18.800000,3.000000
18.900000,3.000000
19.000000,3.000000
19.100000,3.000000
19.200000,3.000000
19.300000,3.000000
19.400000,3.000000
19.500000,3.000000
19.600000,3.000000
19.700000,3.000000
19.800000,3.000000
19.900000,3.000000
20.000000,3.000000
