0,2,2,382.166,382.166
0.1,1.99603,2.00397,381.408,382.924
0.2,1.98256,2.01744,378.833,385.498
0.3,1.95875,2.04125,374.283,390.048
0.4,1.92783,2.07217,368.375,395.956
0.5,1.89527,2.10473,362.153,402.178
0.6,1.86684,2.13316,356.722,407.61
0.7,1.84708,2.15292,352.946,411.385
0.8,1.83816,2.16184,351.24,413.091
0.9,1.8397,2.1603,351.535,412.796
1,1.84931,2.15069,353.371,410.96
1.1,1.87629,2.12371,358.527,405.804
1.2,1.88794,2.11206,360.753,403.578
1.3,1.89362,2.10638,361.838,402.494
1.4,1.89669,2.10331,362.426,401.906
1.5,1.89939,2.10061,362.941,401.39
1.6,1.90338,2.09662,363.704,400.628
1.7,1.90975,2.09025,364.92,399.411
1.8,1.92568,2.07432,367.964,396.367
1.9,1.93382,2.06618,369.52,394.811
2,1.94145,2.05855,370.977,393.354
2.1,1.95018,2.04982,372.646,391.685
2.2,1.96378,2.03622,375.244,389.087
2.3,1.97227,2.02773,376.868,387.463
2.4,1.98006,2.01994,378.355,385.976
2.5,1.98802,2.01198,379.877,384.454
2.6,1.99676,2.00324,381.546,382.785
2.7,2.0043,1.9957,382.987,381.345
2.8,2.01209,1.98791,384.475,379.856
2.9,2.01851,1.98149,385.702,378.63
3,2.02695,1.97305,387.315,377.016
3.1,2.03655,1.96345,389.149,375.182
3.2,2.04667,1.95333,391.083,373.248
3.3,2.05155,1.94845,392.016,372.315
3.4,2.06203,1.93797,394.018,370.313
3.5,2.07385,1.92615,396.278,368.053
3.6,2.08542,1.91458,398.488,365.844
3.7,2.09584,1.90416,400.479,363.852
3.8,2.1047,1.8953,402.172,362.159
3.9,2.10199,1.89801,401.653,362.678
4,2.10971,1.89029,403.13,361.201
4.1,2.11999,1.88001,405.093,359.238
4.2,2.12977,1.87023,406.963,357.368
4.3,2.13718,1.86282,408.378,355.953
4.4,2.14089,1.85911,409.087,355.244
4.5,2.14023,1.85977,408.96,355.371
4.6,2.13512,1.86488,407.985,356.346
4.7,2.12599,1.87401,406.24,358.091
4.8,2.11349,1.88651,403.852,360.479
4.9,2.09824,1.90176,400.937,363.394
5,2.08067,1.91933,397.58,366.751
5.1,2.06087,1.93913,393.796,370.535
5.2,2.03864,1.96136,389.548,374.783
5.3,2.01357,1.98643,384.758,379.573
