0.2,0,0
0.4,0,0.000991754
0.6,0.000198351,0.00535209
0.799997,0.00126876,0.0156646
0.999972,0.00440156,0.0337072
1.19986,0.0111417,0.0598906
1.3995,0.0231127,0.09318
1.59863,0.0417217,0.131409
1.79691,0.0679279,0.17187
1.99396,0.102133,0.211945
2.18949,0.144205,0.249618
2.38329,0.193612,0.280545
2.57547,0.248988,0.30856
2.76602,0.309725,0.335156
2.95489,0.375508,0.360982
3.14201,0.446147,0.386134
3.32728,0.521469,0.410289
3.51068,0.601244,0.432851
3.69224,0.685136,0.451431
3.8722,0.772387,0.467975
4.0507,0.862603,0.482614
4.22785,0.955422,0.495069
4.40384,1.05044,0.504124
4.57896,1.14705,0.511055
4.75341,1.24487,0.516041
4.92736,1.34356,0.519035
5.10102,1.44276,0.519845
5.2746,1.54211,0.518771
5.44829,1.64128,0.51575
5.62227,1.73991,0.511123
5.79671,1.83775,0.504386
5.9718,1.9344,0.49525
6.14777,2.02945,0.483583
6.32484,2.12244,0.470695
6.50309,2.21314,0.455188
6.68273,2.30107,0.436725
6.86396,2.38566,0.41537
7.04695,2.46637,0.39141
7.23182,2.54267,0.365235
7.41863,2.6141,0.339738
7.6072,2.68075,0.312309
7.79753,2.7422,0.282312
7.98961,2.79792,0.249868
8.1834,2.84737,0.215574
8.37877,2.89015,0.180352
8.57552,2.92603,0.145295
8.77342,2.95498,0.111515
8.97218,2.97724,0.080017
9.17154,2.99323,0.0516443
9.37127,3.00355,0.0270844
9.5712,3.00897,0.00691747
9.77119,3.01035,-0.008299
9.97118,3.00869,-0.017958
10.1712,3.0051,-0.0213499
10.3711,3.00083,-0.0194738
10.5711,2.99694,-0.0163021
10.771,2.99368,-0.0170147
10.971,2.99027,-0.0261067
11.1709,2.98505,-0.0460801
11.3707,2.97584,-0.0769219
11.5701,2.96047,-0.116338
11.7688,2.93725,-0.157423
11.9663,2.9059,-0.199858
12.1623,2.86619,-0.241346
12.3565,2.81839,-0.279726
12.5488,2.76317,-0.313683
12.739,2.70146,-0.34288
12.9274,2.63422,-0.367788
13.114,2.56231,-0.389358
13.299,2.48639,-0.406298
13.4827,2.40735,-0.422815
13.6651,2.32528,-0.440159
13.8461,2.24007,-0.458203
14.0254,2.1516,-0.476017
14.2032,2.05995,-0.491137
14.3796,1.96562,-0.504098
14.5547,1.86902,-0.514251
14.7288,1.77064,-0.520993
14.9023,1.6711,-0.523765
15.0755,1.57107,-0.523401
15.2487,1.4711,-0.520429
15.4222,1.37165,-0.515608
15.5962,1.27304,-0.50933
15.7708,1.17552,-0.501748
15.9462,1.07933,-0.492823
16.1224,0.984705,-0.483399
16.2995,0.891747,-0.47197
16.4776,0.800819,-0.457773
16.657,0.712428,-0.440414
16.8379,0.627165,-0.419831
17.0205,0.545644,-0.398332
17.2049,0.468068,-0.373882
17.3911,0.395022,-0.346244
17.5792,0.327148,-0.315839
17.7693,0.265025,-0.283389
17.9613,0.209103,-0.249726
18.1551,0.159676,-0.215646
18.3505,0.11688,-0.181825
18.5472,0.0807149,-0.148795
18.745,0.0510656,-0.116995
18.9436,0.02772,-0.0868514
19.1429,0.0103716,-0.0588653
19.3425,-0.0013947,-0.0336738
19.5424,-0.00812818,-0.0140128
19.7424,-0.0109306,0.00205328
19.9424,-0.01052,0.0142047
20.1424,-0.00767915,0.0212162
20.3423,-0.00343622,0.0217132
20.5423,0.000906082,0.0164068
20.7422,0.0041873,0.00765892
20.9422,0.00571906,-0.00162105
21.1422,0.00539485,-0.00888781
21.3422,0.00361732,-0.0125808
21.5422,0.00110122,-0.012364
21.7422,-0.00137152,-0.0089951
21.9422,-0.00317052,-0.00392929
22.1422,-0.00395638,0.00118993
22.3422,-0.00371839,0.00499904
22.5422,-0.00271858,0.00672529
22.7422,-0.00137354,0.00628526
22.9422,-0.000116492,0.00418336
23.1422,0.000720177,0.00127307
23.3422,0.00097479,-0.00153117
23.5422,0.000668556,-0.00350672
23.7422,-3.27857e-05,-0.00427955
23.9422,-0.000888694,-0.00386074
24.1422,-0.00166084,-0.00257449
24.3422,-0.00217574,-0.000916328
24.5422,-0.002359,0.000608607
24.7422,-0.00223728,0.00162089
24.9422,-0.0019131,0.00194464
25.1422,-0.00152418,0.00161758
25.3422,-0.00120066,0.000842769
25.5422,-0.00103211,-9.46743e-05
25.7422,-0.00105104,-0.000917704
25.9422,-0.00123458,-0.00142916
26.1422,-0.00152041,-0.00154958
26.3422,-0.00183033,-0.00131718
26.5422,-0.00209377,-0.00085661
26.7422,-0.00226509,-0.000330545
26.9422,-0.0023312,0.000110158
27.1422,-0.00230917,0.000364243
27.3422,-0.00223632,0.000397941
27.5422,-0.00215673,0.000241819
27.7422,-0.00210836,-2.8834e-05
27.9422,-0.00211413,-0.000321925
28.1422,-0.00217852,-0.000555924
28.3422,-0.0022897,-0.000679532
28.5422,-0.00242561,-0.000679834
28.7422,-0.00256157,-0.000578838
28.9422,-0.00267734,-0.000421398
29.1422,-0.00276162,-0.000259261
29.3422,-0.00281347,-0.000136148
29.5422,-0.0028407,-7.7627e-05
29.7422,-0.00285623,-8.76041e-05
29.9422,-0.00287375,-0.000151171
30.1422,-0.00290398,-0.000241917
30.3422,-0.00295237,-0.000330976
30.5422,-0.00301856,-0.000395096
30.7422,-0.00309758,-0.000421789
30.9422,-0.00318194,-0.000410698
31.1422,-0.00326408,-0.000371526
31.3422,-0.00333838,-0.000319661
31.5422,-0.00340232,-0.000271094
31.7422,-0.00345654,-0.000238078
31.9422,-0.00350415,-0.000226558
32.1422,-0.00354946,-0.000235731
32.3422,-0.00359661,-0.000259465
32.5422,-0.0036485,-0.000288873
32.7422,-0.00370628,-0.000315163
32.9422,-0.00376931,-0.000331941
33.1422,-0.0038357,-0.000336472
33.3422,-0.00390299,-0.000329754
33.5422,-0.00396894,-0.000315576
33.7422,-0.00403206,-0.000299026
33.9422,-0.00409186,-0.000284904
34.1422,-0.00414884,-0.000276511
34.3422,-0.00420415,-0.00027504
34.5422,-0.00425915,-0.00027964
34.7422,-0.00431508,-0.000288007
34.9422,-0.00437268,-0.000297254
35.1422,-0.00443213,-0.000304777
35.3422,-0.00449309,-0.000308896
35.5422,-0.00455487,-0.000309131
35.7422,-0.0046167,-0.000306116
35.9422,-0.00467792,-0.00030123
36.1422,-0.00473816,-0.000296101
36.3422,-0.00479738,-0.000292128
36.5422,-0.00485581,-0.000290156
