0,0,0,-0.000297,0
0.1,-0.000991654,-0.0209908,-0.0104954,-0.0676677
0.2,-0.0043598,-0.0505337,-0.0252669,-0.12749
0.3,-0.010311,-0.0807363,-0.0413591,-0.178901
0.4,-0.0180392,-0.100089,-0.0553892,-0.22203
0.5,-0.0261775,-0.0982148,-0.0647465,-0.256906
0.6,-0.03328,-0.0691813,-0.0682516,-0.283861
0.7,-0.0382159,-0.0125662,-0.0661255,-0.303064
0.8,-0.0404439,0.0667385,-0.0597689,-0.31431
0.9,-0.0400537,0.160189,-0.0512061,-0.317916
1,-0.037648,0.258043,-0.0424749,-0.314271
1.1,-0.0308987,0.350726,-0.0356626,-0.30916
1.2,-0.0279843,0.428014,-0.0339362,-0.296747
1.3,-0.0265623,0.489192,-0.0334355,-0.280186
1.4,-0.0257904,0.545165,-0.032478,-0.260404
1.5,-0.0251135,0.600423,-0.0302364,-0.238223
1.6,-0.0241134,0.656452,-0.0265542,-0.214311
1.7,-0.0225192,0.712808,-0.0217161,-0.189537
1.8,-0.018535,0.765741,-0.017386,-0.176117
1.9,-0.0164975,0.813899,-0.0137386,-0.15148
2,-0.0145903,0.854452,-0.0100086,-0.127233
2.1,-0.0124054,0.891198,-0.00613224,-0.1037
2.2,-0.00900494,0.92217,-0.00339634,-0.0917533
2.3,-0.00688022,0.948724,-0.000829531,-0.0693125
2.4,-0.00493426,0.968876,0.00159686,-0.0475705
2.5,-0.00294212,0.985311,0.00408321,-0.026199
2.6,-0.000758293,0.996741,0.00567729,-0.0156414
2.7,0.00112588,1.00627,0.00818508,0.00519116
2.8,0.00307292,1.01224,0.0108325,0.0259654
2.9,0.00467738,1.01336,0.0125592,0.0364053
3,0.00678772,1.01405,0.0159802,0.0573538
3.1,0.00918578,1.01198,0.0194036,0.0784864
3.2,0.0117152,1.0059,0.0226187,0.100122
3.3,0.0129349,0.993234,0.0244448,0.111352
3.4,0.015552,0.980022,0.0285159,0.133572
3.5,0.018507,0.964047,0.0322626,0.156226
3.6,0.021396,0.94213,0.0353025,0.178962
3.7,0.023999,0.913674,0.0377027,0.201824
3.8,0.0262119,0.879002,0.0396624,0.224299
3.9,0.0255305,0.837269,0.0405199,0.236486
4,0.0274597,0.797378,0.0448372,0.256989
4.1,0.0300254,0.757341,0.0486022,0.274575
4.2,0.0324685,0.710525,0.0508634,0.289239
4.3,0.0343157,0.654721,0.0511744,0.299616
4.4,0.0352402,0.589992,0.0495625,0.304981
4.5,0.0350707,0.517674,0.0462275,0.304024
4.6,0.0337916,0.440147,0.0415264,0.295838
4.7,0.0315055,0.36015,0.0357598,0.279458
4.8,0.0283778,0.280481,0.0291857,0.254602
4.9,0.0245624,0.203346,0.0218303,0.220996
5,0.0201675,0.130423,0.0136133,0.178508
5.1,0.0152155,0.0628316,0.00433652,0.12738
5.2,0.00965702,0.00136802,-0.00623342,0.0676516
5.3,0.00338962,-0.048072,-0.0157387,0.0293931
5.4,-0.00187815,-0.0595777,-0.011835,0.067648
5.5,-0.00317347,-0.0328176,0.00494032,0.127575
5.6,0.000710733,0.0167349,0.0278378,0.179194
5.7,0.00908922,0.0691432,0.0508587,0.222396
5.8,0.0199687,0.103348,0.0686578,0.257078
5.9,0.0308339,0.103849,0.0779752,0.283746
6,0.0394041,0.0640523,0.0780323,0.30286
6.1,0.0410691,-0.0138034,0.069963,0.309611
6.2,0.0424151,-0.110342,0.0611009,0.316962
6.3,0.0414641,-0.213688,0.0503534,0.316772
6.4,0.038351,-0.319309,0.0395073,0.309636
6.5,0.033926,-0.418766,0.0303979,0.296783
6.6,0.0291628,-0.505785,0.0240546,0.279465
6.7,0.0248712,-0.577644,0.0206853,0.259151
6.8,0.0215302,-0.635246,0.0196574,0.236916
6.9,0.0168996,-0.679658,0.0210518,0.224573
7,0.0164746,-0.714993,0.0237695,0.200917
7.1,0.0172995,-0.744695,0.0247584,0.176956
7.2,0.0179987,-0.77895,0.0227517,0.152719
7.3,0.0177659,-0.819701,0.0178678,0.128331
7.4,0.0150712,-0.862773,0.012174,0.115723
7.5,0.01291,-0.906019,0.00587906,0.0921638
7.6,0.0101011,-0.943738,-0.000271867,0.0694091
7.7,0.00669044,-0.97581,-0.00558999,0.0474634
7.8,0.00271959,-0.998641,-0.00856382,0.0365877
7.9,-0.000416883,-1.01395,-0.0106783,0.0155513
8,-0.00302407,-1.0204,-0.0116508,-0.00516619
8.1,-0.00487229,-1.01867,-0.0110097,-0.0155255
8.2,-0.00632964,-1.01491,-0.0118007,-0.0363848
8.3,-0.00763201,-1.00905,-0.0132255,-0.0574496
8.4,-0.00897421,-1.00207,-0.0154623,-0.0787499
8.5,-0.00947258,-0.992417,-0.0174776,-0.0897707
8.6,-0.0114763,-0.985481,-0.0224117,-0.111645
8.7,-0.0142429,-0.978026,-0.0275555,-0.133671
8.8,-0.0174021,-0.966212,-0.0322233,-0.156135
8.9,-0.0206256,-0.947891,-0.0359857,-0.178662
9,-0.0215386,-0.920366,-0.0377779,-0.190898
9.1,-0.024488,-0.891158,-0.0419777,-0.213576
9.2,-0.0276722,-0.858317,-0.0452134,-0.235138
9.3,-0.0304364,-0.817339,-0.0470965,-0.255649
9.4,-0.0324789,-0.767688,-0.0476934,-0.273842
9.5,-0.0336881,-0.710582,-0.0473684,-0.289181
9.6,-0.034101,-0.647688,-0.0463844,-0.30001
9.7,-0.0338397,-0.580926,-0.0449696,-0.305492
9.8,-0.0330449,-0.511756,-0.0430964,-0.304369
9.9,-0.0318118,-0.441177,-0.0405817,-0.295892
10,-0.0301519,-0.369619,-0.0370747,-0.279262
10.1,-0.027992,-0.297408,-0.0322573,-0.254297
10.2,-0.0251949,-0.224859,-0.0258133,-0.220723
10.3,-0.0196623,-0.157313,-0.0198714,-0.200983
10.4,-0.0160659,-0.0917529,-0.0122185,-0.154049
10.5,-0.01215,-0.0320977,-0.00203673,-0.0986118
10.6,-0.00700941,0.026459,0.0111764,-0.0346391
10.7,-0.000494794,0.0653865,0.0184933,-0.0176323
10.8,0.00530805,0.0768697,0.0172272,-0.0176296
10.9,0.00874865,0.0637308,0.0101574,-0.0176342
11,0.0092798,0.0321022,-0.000355025,-0.017641
11.1,0.00726587,-0.00748136,-0.0113994,-0.0176428
11.2,0.00369176,-0.0440995,-0.0204291,-0.0176381
11.3,-0.000218054,-0.0695363,-0.0258844,-0.0176311
11.4,-0.00336982,-0.0800091,-0.027431,-0.0176272
11.5,-0.0050662,-0.0763689,-0.0258268,-0.0176282
11.6,-0.0051191,-0.0630363,-0.0225263,-0.0176323
11.7,-0.00380861,-0.0462012,-0.0191722,-0.0176365
11.8,-0.00172557,-0.0318755,-0.0171275,-0.0176393
11.9,0.000440656,-0.0243337,-0.0171654,-0.0176406
12,0.00210233,-0.0252894,-0.0193691,-0.0176407
12.1,0.00291042,-0.0339007,-0.0232343,-0.0176397
12.2,0.00280408,-0.0474508,-0.0279073,-0.0176373
12.3,0.0019752,-0.0624026,-0.0324737,-0.0176335
12.4,0.000772411,-0.0754826,-0.0362112,-0.0176294
12.5,-0.000419198,-0.0845005,-0.0387464,-0.017626
